Country Code,Country,Continent,Sub Region,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
KGZ,Kyrgyzstan,Asia,Central Asia,20.3,2.2,7.11,8.54,7.33,13.14,27.36,19.15,13.25,1.55,6.25,1.9,3.35,16.26,5.05,-1.68,2.26,0.44,3.48,5.36,6.86
KHM,Cambodia,Asia,South-Eastern Asia,0.3,0.0,0.1,10.1,12.0,8.3,20.0,14.61,2.84,3.74,2.27,0.64,2.78,-3.5,-1.24,-0.15,1.33,1.28,1.09,2.95,7.05
KOR,Korea (Republic of),Asia,Eastern Asia,2.75,4.25,3.24,1.89,2.86,2.24,4.36,1.13,2.38,4.51,4.59,3.53,2.86,-0.64,-0.81,1.7,0.7,-2.6,0.19,1.64,5.31
LCA,Saint Lucia,Americas,Caribbean,-1.6,3.0,3.5,7.7,5.1,1.48,5.98,-4.58,6.31,2.25,1.26,-4.17,5.03,6.57,-3.23,7.0,9.14,-1.94,-4.7,6.83,15.45
LSO,Lesotho,Africa,Southern Africa,11.2,8.1,5.5,7.6,8.37,8.07,14.73,-0.26,3.34,11.51,8.35,10.58,7.71,-6.87,0.35,6.28,8.81,8.0,-1.93,6.87,16.55
LTU,Lithuania,Europe,Northern Europe,2.73,0.32,0.65,4.97,6.86,11.5,19.24,11.43,4.73,8.27,6.19,0.57,-0.85,-4.76,-2.03,1.12,4.05,0.13,-3.4,14.33,57.35
LUX,Luxembourg,Europe,Western Europe,0.18,2.83,3.14,6.86,5.85,3.36,7.89,-2.67,4.7,6.91,3.71,0.6,-1.01,-0.91,-1.57,1.67,3.18,1.61,-0.77,18.82,33.02
LVA,Latvia,Europe,Northern Europe,1.08,4.67,8.11,5.78,13.8,16.35,29.37,8.23,-2.26,7.61,6.82,-0.05,0.98,3.56,-2.94,2.04,4.13,3.07,-2.41,10.5,48.62
MDV,Maldives,Asia,Southern Asia,-1.4,-0.9,-2.1,6.2,9.0,2.91,2.91,2.91,2.91,2.91,3.59,3.57,3.07,1.03,0.3,-0.94,-0.16,2.21,-4.7,1.11,1.87
MEX,Mexico,Americas,Central America,7.6,15.9,5.38,3.93,4.47,3.02,4.89,2.45,3.2,2.19,2.51,2.8,2.9,1.87,1.72,3.91,3.91,2.43,2.6,13.71,5.49
MKD,Macedonia (the former Yugoslav Republic of),Europe,Southern Europe,1.0,4.35,1.91,0.82,2.77,5.99,6.67,5.12,7.0,4.99,9.23,1.0,-0.17,1.06,-0.57,-0.28,0.01,-0.14,2.0,2.74,11.95
MLI,Mali,Africa,Western Africa,6.82,-0.22,-1.61,-2.37,2.41,2.02,5.25,0.21,-1.89,2.96,2.0,3.82,3.13,1.65,1.78,-0.61,2.67,4.23,0.67,-0.98,5.34
MMR,Myanmar,Asia,South-Eastern Asia,34.7,34.3,17.7,9.1,31.4,32.9,14.3,3.7,3.7,8.1,6.5,5.2,4.61,7.91,5.51,5.02,7.82,18.84,17.37,3.51,11.24
MNG,Mongolia,Asia,Eastern Asia,12.3,0.4,1.7,8.7,8.7,9.1,21.43,9.21,7.97,13.07,12.36,7.51,12.55,10.67,1.95,4.9,13.03,8.7,2.92,2.35,14.52
MOZ,Mozambique,Africa,Eastern Africa,5.2,12.5,12.5,12.5,12.5,12.5,15.01,-7.41,10.75,8.97,4.32,4.77,3.35,0.87,4.73,15.63,5.49,2.41,-0.47,5.46,6.79
MUS,Mauritius,Africa,Eastern Africa,15.1,15.1,0.2,3.46,11.54,4.93,6.8,-3.21,-0.29,2.29,4.82,0.52,0.74,-0.05,-3.1,-2.21,-1.78,-0.39,-2.99,-2.95,4.0
MYS,Malaysia,Asia,South-Eastern Asia,0.0,0.5,0.5,1.4,1.54,1.31,1.52,1.41,1.15,1.78,1.58,1.77,3.39,2.45,2.44,2.2,1.99,1.87,-1.73,1.57,1.95
NAM,Namibia,Africa,Southern Africa,7.6,6.77,6.34,1.86,2.06,2.13,-4.59,14.76,8.71,7.69,5.86,5.16,3.27,2.63,7.69,9.18,3.52,2.07,-0.99,1.26,1.72
NGA,Nigeria,Africa,Western Africa,17.07,33.78,20.72,12.07,16.87,9.94,6.13,8.29,10.08,15.57,17.75,9.6,5.83,7.2,21.91,12.86,7.4,7.35,8.13,10.22,14.16
